fix	test	baseline	mutated	restored	bytes	verdict
default_verification_passed_runtime	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
default_verification_passed_session	src/core/session.ail	GREEN	RED	GREEN	same	PASS
default_verification_passed_rpc	src/core/rpc.ail	GREEN	RED	GREEN	same	PASS
default_verification_passed_session_test	src/core/session.ail	GREEN	RED	GREEN	same	PASS
default_window_complete_session_test	src/core/session.ail	GREEN	RED	GREEN	same	PASS
default_window_complete_test	src/core/ext/ctx_defaults.ail	GREEN	RED	GREEN	same	PASS
default_window_complete_lint	src/core/ext/ctx_defaults.ail	GREEN	RED	GREEN	same	PASS
tool_site_handed_none_test	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
tool_site_handed_none_e2e	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
judge_site_handed_none_test	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
judge_site_handed_none_e2e	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
tool_state_from_other_descriptor	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
judge_state_from_other_descriptor	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
judge_state_from_other_descriptor_e2e	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
question_config_crossed	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
interpretation_config_crossed_e2e	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
ledger_allowance_nonzero	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
ledger_known_spend_nonzero	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
ledger_outstanding_nonzero	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
ledger_run_cost_nonzero	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
ledger_run_cap_some_zero	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
ledger_allowance_nonzero_e2e	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
identity_drops_owner	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
mode_shadow	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
limit_not_the_descriptors	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
limit_zero_e2e	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
interventions_used_nonzero	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
ordinary_view_keeps_host_state	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
judge_state_leaks_to_next_atom	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
tool_state_leaks_to_next_atom	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
session_literal_asserts_state	src/core/session.ail	GREEN	RED	GREEN	same	PASS
rpc_literal_other_window	src/core/rpc.ail	GREEN	RED	GREEN	same	PASS
exit_literal_disabled	src/core/session.ail	GREEN	RED	GREEN	same	PASS
judge_interpret_other_request	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
