case_id	test_name	observed_verdict	observed_first_finding	observed_position	observed_by	commit
M6.D.gen	src/eval/journal/digests.ail:test_payload_digest_equals_generator	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M6.S.gen	src/eval/journal/digests.ail:test_system_prefix_digest_equals_generator	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M6.R.gen	src/eval/journal/digests.ail:test_raw_frame_digest_equals_generator	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M6.A.gen	src/eval/journal/digests.ail:test_arguments_digest_equals_generator	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M6.A.malformed	src/eval/journal/digests.ail:test_malformed_arguments_are_errors	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M6.make_n.blind	src/eval/journal/digests.ail:test_make_n_is_payload_blind_and_raw_visible	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M6.image.blind	src/eval/journal/digests.ail:test_image_is_payload_blind_and_raw_visible	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M6.D.at_a	src/eval/journal/digests_at_a_test.ail:test_payload_copy_equals_candidate_at_a	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M6.S.at_a	src/eval/journal/digests_at_a_test.ail:test_system_prefix_copy_equals_candidate_at_a	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M6.R.at_a	src/eval/journal/digests_at_a_test.ail:test_raw_frame_copy_equals_candidate_at_a	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M6.A.at_a	src/eval/journal/digests_at_a_test.ail:test_arguments_copy_equals_candidate_at_a	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.ChainBreak.digest	src/eval/journal/reader.ail:test_m1_chain_break_digest	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
