file	class	changed	reason (read at HEAD d83b8d63)
.github/workflows/verify-extensions.yml	fine	no	`ExtCtx` named twice in comments about past field additions (context_limit, "adding a field to ExtCtx"); both still true at 8.0. CI regenerates the root lock itself (`make CI=1 sync_packages`), so it does not read the committed lock.
.motoko/ab/answer-p2a.md	fine	no	prose (033 G4): `ExtCtx.world` token bytes; the field exists at 8.0 and every view carries `world`. Not rewritten.
Makefile	fine	no	7 sites, all comments: herdr/compose `register_with_config` read Env (and compose FS) before any hook runs -- still true at 8.0 (Amendment 3 puts the values into `config`, the read stays); `verify_extensions` boots each `register_with_config`; line 453/679 are history. Every recipe that runs a changed A-file already grants Trace where the file's row now needs it (hook_guard, compaction_dst, world_state); smoke_v2_handle is run by phase_a_event_parity.sh, not a recipe.
ailang.toml	fine	no	`entry_import = ...types.ExtEntry` names the 8.0 type (now `{ id, config, caps }`); the `register_with_config` comment on the `[extensions] effects` row is unchanged in meaning. Path dependencies carry no version.
design_docs/planned/m-motoko-chain-provenance.md	comment only	no	prose (033 G4): proposes new `ExtCtx` fields; at 8.0 that is a view/ABI question. Not rewritten here.
design_docs/planned/m-motoko-ext-auto-linter.md	comment only	no	prose (033 G4): sample uses the pre-6.0 `ExtensionHooks` record and `on_tool_handle(ctx: ExtCtx, ...)`; at 8.0 a `ToolProvider` payload over `ProviderCtx` in `{ config, caps }`. Not rewritten.
design_docs/planned/m-motoko-ext-describe-tools.md	comment only	no	prose (033 G4): the `on_*` slot record; at 8.0 `DescribeTools((Json) -> [ToolSchema])`. Not rewritten.
design_docs/planned/m-motoko-ext-skills-import.md	comment only	no	prose (033 G4): `ExtensionHooks` sample and `execute_skill(ctx: ExtCtx, ...)`. Not rewritten.
design_docs/planned/m-motoko-extensions-as-packages.md	comment only	no	prose (033 G4): `register_with_config(cfg) -> ExtensionHooks`; at 8.0 `-> ExtRegistration`. Not rewritten.
design_docs/planned/m-motoko-verify-ail.md	fine	no	prose: greps that `mcp.ail` exports `register_with_config` (the name is unchanged at 8.0; it lives in `register.ail` now, a pre-031 move). Not rewritten.
omnigraph/extractions/batch-3.jsonl	fine	no	data (033 G4): historical extraction describing `src/core/ext/types.ail` and the X1 slot rename; a record of that time, not a claim about 8.0.
omnigraph/seed/data.jsonl	fine	no	data (033 G4): the same two records, seeded. Not rewritten.
phase_log.md	fine	no	history log (ABI v2.1/v2.2 entries). Not rewritten.
scripts/dst/fixtures/adr001_boundary/gate/expected.json	fine	no	pinned data of the shape gate; its own gate `make ext_hook_scope_selftest` run at HEAD + this part's paths: see CHECKS.log. Unchanged.
scripts/dst/run_depth_canary.sh	fine	no	one comment row in a historical depth table (`a2113e8 ... ExtCtx 7.4`); a measurement record, not a claim about the ABI.
src/tui/src/herdr-child-env.test.ts	fine	no	comment: herdr gates on HERDR_* read through std/env inside `register_with_config`; still true at 8.0 (P1.2d, Amendment 3).
src/tui/src/runtime-process.ts	fine	no	the same comment at `buildChildEnv`; still true at 8.0.
tools/eval_protected/manifest-A.json	fine	no	pinned data generated `--at A` (source_commit 65003110); the `ExtCtx` import names are what commit A imported, independent of HEAD's ABI. Its gate row is `committed_manifest_current`. Unchanged.
tools/ext_call_inventory/fixtures/expected.json	fine	no	pinned data; the `ExtCtx` mention is prose inside a verdict reason (registration runs before a world exists). Its gate `make ext_call_inventory_selftest` at HEAD + this part's paths: see CHECKS.log. Unchanged.
tools/ext_registry_gen/generate.py	comment only	yes	code already emits the 8.0 wiring (P0.5); the module docstring still said the real registry is red "until P1.1"; that paragraph now states P1.1/P1.2d landed. `make registry_gen_check`: see CHECKS.log.
tools/profile_definition/check_compose_profile.py	fine	no	message text: compose's `register_with_config` reads Env and FS before any hook -- still true at 8.0 (`getEnvOr("MOTOKO_PROFILE_DIR")`, `read_compose_host_config`). It takes its atom enumeration from check_no_op_profile.hook_scope_atoms, fixed below.
tools/profile_definition/check_no_op_profile.py	needs change	yes	`hook_scope_atoms()` required B2's `registration_shape == "capability-list"`, the 7.4 bare-list head. At 8.0 every package's head is `config-caps` (the `{ config, caps }` record; hook_scope.py:1029), so the B8 denominator guard failed closed on every installed extension -- red on `driver_plus_no_ops` (an R-G target) and `driver_plus_compose`. Now requires `config-caps`; the 7.4 head still fails.
