# P1.6r-a2 mutgate spec. One row per changed .ail (revert ITS 8.0 change -> its check -> red), plus a second
# discovery row for the grep probe's slot move. Rows assert THIS FOLLOW-UP'S files only.
#
# Workspace: evidence/P1.6r/p16r_ws.sh (P1.6r's, unchanged) copies the cwd's TRACKED files (working-tree bytes,
# so the mutation is what gets checked), drops ailang.lock and runs `ailang lock` there; nothing resolves to the
# primary checkout. NO PIPES IN A test_cmd (pipefail + grep -q = exit 141): each row writes a log, then greps it.
# fix_id	target_file	sed_expr	test_cmd
p16ra2_corpus_pr_config	scripts/dst/corpus_pr_dst.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/corpus_pr_dst.ail > /tmp/p16ra2_r01.log 2>&1; grep -qF "p16r: check scripts/dst/corpus_pr_dst.ail ok" /tmp/p16ra2_r01.log
p16ra2_corpus_rotating_config	scripts/dst/corpus_rotating_dst.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/corpus_rotating_dst.ail > /tmp/p16ra2_r02.log 2>&1; grep -qF "p16r: check scripts/dst/corpus_rotating_dst.ail ok" /tmp/p16ra2_r02.log
p16ra2_latency_pair_config	scripts/dst/latency_pair_dst.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/latency_pair_dst.ail > /tmp/p16ra2_r03.log 2>&1; grep -qF "p16r: check scripts/dst/latency_pair_dst.ail ok" /tmp/p16ra2_r03.log
p16ra2_seeded_generator_config	scripts/dst/seeded_generator_dst.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/seeded_generator_dst.ail > /tmp/p16ra2_r04.log 2>&1; grep -qF "p16r: check scripts/dst/seeded_generator_dst.ail ok" /tmp/p16ra2_r04.log
p16ra2_strict_replay_config	scripts/dst/strict_replay_dst.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/strict_replay_dst.ail > /tmp/p16ra2_r05.log 2>&1; grep -qF "p16r: check scripts/dst/strict_replay_dst.ail ok" /tmp/p16ra2_r05.log
p16ra2_discovery_config	scripts/dst/discovery_dst.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/discovery_dst.ail > /tmp/p16ra2_r06.log 2>&1; grep -qF "p16r: check scripts/dst/discovery_dst.ail ok" /tmp/p16ra2_r06.log
p16ra2_discovery_grep_slot	scripts/dst/discovery_dst.ail	s/^func grep_probe_handle(ctx: ProviderCtx,/func grep_probe_handle(ctx: InterceptCtx,/	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/discovery_dst.ail > /tmp/p16ra2_r07.log 2>&1; grep -qF "p16r: check scripts/dst/discovery_dst.ail ok" /tmp/p16ra2_r07.log
p16ra2_driver_plus_compose_entry	scripts/dst/driver_plus_compose_dst.ail	s/{ id: "compose", config: reg.config, caps: reg.caps }/{ id: "compose", caps: reg.caps }/	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/driver_plus_compose_dst.ail > /tmp/p16ra2_r08.log 2>&1; grep -qF "p16r: check scripts/dst/driver_plus_compose_dst.ail ok" /tmp/p16ra2_r08.log
p16ra2_park_wake_config	scripts/dst/park_wake_dst.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/park_wake_dst.ail > /tmp/p16ra2_r09.log 2>&1; grep -qF "p16r: check scripts/dst/park_wake_dst.ail ok" /tmp/p16ra2_r09.log
p16ra2_export_trace_config	scripts/dst/export_trace.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/export_trace.ail > /tmp/p16ra2_r10.log 2>&1; grep -qF "p16r: check scripts/dst/export_trace.ail ok" /tmp/p16ra2_r10.log
