file	sites	kind	exercised_by	owner	status	check8
.github/workflows/verify-extensions.yml	2	text	CI: verify-extensions.yml; dst; test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py)	UNOWNED	sites: text	not checked
.motoko/ab/answer-p2a.md	1	document	none	UNOWNED	sites: document	not checked
Makefile	7	text	dagr (via scripts/dagr-pane.sh); depth_canary (via scripts/dst/run_depth_canary.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; dst (via scripts/dst/sweep_summary.sh); ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py); profile_definition (via tools/profile_definition/check_fixtures.py); smoke_driver (via scripts/setup_dp7_smoke_workdirs.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py)	UNOWNED	sites: text	not checked
ailang.toml	2	text	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; eval_matrix (via scripts/eval/journal_replay.sh); eval_protected_selftest (via tools/eval_protected/selftest.py); ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py); profile_definition (via tools/profile_definition/check_fixtures.py); registry_gen (via tools/ext_registry_gen/generate.py); registry_gen_check (via tools/ext_registry_gen/generate.py); sync_packages	UNOWNED	sites: text	not checked
design_docs/planned/m-motoko-chain-provenance.md	2	document	none	UNOWNED	sites: document	not checked
design_docs/planned/m-motoko-ext-auto-linter.md	3	document	none	UNOWNED	sites: document	not checked
design_docs/planned/m-motoko-ext-describe-tools.md	7	document	none	UNOWNED	sites: document	not checked
design_docs/planned/m-motoko-ext-skills-import.md	5	document	none	UNOWNED	sites: document	not checked
design_docs/planned/m-motoko-extensions-as-packages.md	5	document	none	UNOWNED	sites: document	not checked
design_docs/planned/m-motoko-verify-ail.md	4	document	none	UNOWNED	sites: document	not checked
omnigraph/extractions/batch-3.jsonl	2	data	none	UNOWNED	sites: data	not checked
omnigraph/seed/data.jsonl	2	data	none	UNOWNED	sites: data	not checked
phase_log.md	2	document	none	UNOWNED	sites: document	not checked
scripts/dst/compaction_policy_dst.ail	2	import;literal	compaction_dst; driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state)	pkg-7.4 (compaction_structural)
scripts/dst/compaction_seeded_dst.ail	2	import;literal	driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; dst_seeded; profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state)	pkg-7.4 (compaction_structural)
scripts/dst/compose_live_exec.ail	4	helper signature;import;reference;registration reference	compose_live_exec; driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	8.0 breakage: 1 ExtEntry literal(s) without config	pkg-7.4 (compose)
scripts/dst/conformance_registry_probe.ail	2	helper signature;import	conformance; driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	sites: helper signature;import	ok
scripts/dst/conformance_selftest.ail	2	import	conformance; declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	pkg-7.4 (compaction_ai)
scripts/dst/corpus_pr_dst.ail	8	helper signature;reference	corpus_pr; driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	P1.5r	ABI pin sweep file (7.4 → 8.0); also: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace	FAIL: 8.0 FixtureOverrides literal without config
scripts/dst/corpus_rotating_dst.ail	8	helper signature;reference	corpus_rotating; driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	P1.5r	ABI pin sweep file (7.4 → 8.0); also: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace	FAIL: 8.0 FixtureOverrides literal without config
