# P1.6r mutgate spec. One row per changed .ail (revert ITS 8.0 change -> its check or run -> red),
# one for the no-op-profile guard, one for the root lock. Rows assert THIS PART'S files only.
#
# Tests, and the ailang.lock trap:
#   evidence/P1.6r/p16r_ws.sh     builds a throwaway workspace from the cwd's TRACKED files (working-tree
#                                 bytes, so the mutation is what gets checked), drops ailang.lock and runs
#                                 `ailang lock` there; nothing resolves to the primary checkout.
#   evidence/P1.6r/p16r_lock_check.py  reads ailang.lock as scripts/eval/journal_replay.sh does
#                                 (lock_abi_version) plus every path entry's version. Python.
#   check_no_op_profile.hook_scope_atoms()  B2's per-extension atom enumeration, in-process. Python.
#
# NO PIPES IN A test_cmd (mutgate.sh's pipefail + grep -q = exit 141). Each row writes a log and greps it.
# fix_id	target_file	sed_expr	test_cmd
p16r_hook_guard_literal	scripts/dst/hook_guard_dst.ail	s/verification: NotReached, tool_evidence: empty_tool_evidence(), decision_state: None, //	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/hook_guard_dst.ail > /tmp/p16r_r01.log 2>&1; grep -qF "p16r: check scripts/dst/hook_guard_dst.ail ok" /tmp/p16r_r01.log
p16r_ledger_parity_config	scripts/dst/ledger_parity_dst.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/ledger_parity_dst.ail > /tmp/p16r_r02.log 2>&1; grep -qF "p16r: check scripts/dst/ledger_parity_dst.ail ok" /tmp/p16r_r02.log
p16r_park_resume_config	scripts/dst/park_resume_dst.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/park_resume_dst.ail > /tmp/p16r_r03.log 2>&1; grep -qF "p16r: check scripts/dst/park_resume_dst.ail ok" /tmp/p16r_r03.log
p16r_registry_multiplicity_describe	scripts/dst/registry_multiplicity_dst.ail	s/pure func describe(_config: Json)/pure func describe()/	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh run IO main scripts/dst/registry_multiplicity_dst.ail "registry_multiplicity_dst PASS" > /tmp/p16r_r04.log 2>&1; grep -qF "p16r: run scripts/dst/registry_multiplicity_dst.ail:main ok" /tmp/p16r_r04.log
p16r_runtime_status_describe	scripts/dst/runtime_status_tool_dst.ail	s/^func no_describe(_config: Json) -> \[ToolSchema\]/func no_describe() -> [ToolSchema]/	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/runtime_status_tool_dst.ail > /tmp/p16r_r05.log 2>&1; grep -qF "p16r: check scripts/dst/runtime_status_tool_dst.ail ok" /tmp/p16r_r05.log
p16r_scripted_cursor_config	scripts/dst/scripted_cursor_probe.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/scripted_cursor_probe.ail > /tmp/p16r_r06.log 2>&1; grep -qF "p16r: check scripts/dst/scripted_cursor_probe.ail ok" /tmp/p16r_r06.log
p16r_world_state_poison_config	scripts/dst/world_state_poison.ail	/^    config: jo(\[\]),$/d	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/world_state_poison.ail > /tmp/p16r_r07.log 2>&1; grep -qF "p16r: check scripts/dst/world_state_poison.ail ok" /tmp/p16r_r07.log
p16r_world_state_probe_aiports	scripts/dst/world_state_probe.ail	s/p: AiPorts) -> ExtWorld/p: ExtPorts) -> ExtWorld/	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/dst/world_state_probe.ail > /tmp/p16r_r08.log 2>&1; grep -qF "p16r: check scripts/dst/world_state_probe.ail ok" /tmp/p16r_r08.log
p16r_compaction_chain_literal	scripts/smoke_v2_compaction_chain.ail	s/verification: NotReached, tool_evidence: empty_tool_evidence(), decision_state: None, //	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/smoke_v2_compaction_chain.ail > /tmp/p16r_r09.log 2>&1; grep -qF "p16r: check scripts/smoke_v2_compaction_chain.ail ok" /tmp/p16r_r09.log
p16r_handle_trace_row	scripts/smoke_v2_handle.ail	s/SharedMem, Stream, Trace} {$/SharedMem, Stream} {/	bash .agent/projects/031_system_one_decisions/evidence/P1.6r/p16r_ws.sh check scripts/smoke_v2_handle.ail > /tmp/p16r_r10.log 2>&1; grep -qF "p16r: check scripts/smoke_v2_handle.ail ok" /tmp/p16r_r10.log
