# 031 PLAN-001 P1.2c mutgate spec (013 GATE-mutation-red-submission-precondition.md).
# fix_id <TAB> target_file <TAB> sed_expr <TAB> test_cmd. Run through p12c_mutgate.sh, never in a checkout anyone
# is using. Every test_cmd builds its own workspace from the throwaway's files (ABI, core, batch A from the clone's
# HEAD; batch C and the masked files from its working tree), never the primary's through a tracked ailang.lock.
# No `cmd | grep -q` anywhere (pipefail/SIGPIPE): the helpers log to a file, then grep it.
#
# --- the registration boundary: re-inline one payload per package -> the gate rejects -> red
a2a_inline	packages/motoko-ext-a2a/register.ail	s/      DescribeTools(a2a_describe_tools),/      DescribeTools(\\cfg. a2a_describe_tools(cfg)),/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh gate a2a
agentcli_inline	packages/motoko-ext-agentcli/register.ail	s/      ToolProvider(tool_names(cfg.providers), agentcli_tool_handle)/      ToolProvider(tool_names(cfg.providers), func(ctx: ProviderCtx, call: ToolCallEnvelope) -> ToolHandleOutcome ! {IO, Process, FS, AI, Env, Net, SharedMem, Clock, Stream, Rand, Trace} { agentcli_tool_handle(ctx, call) })/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh gate agentcli
docs_inline	packages/motoko-ext-ailang-docs/register.ail	s/      PromptShaper(ailang_docs_prompt),/      PromptShaper(\\ctx. ailang_docs_prompt(ctx)),/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh gate ailang_docs
mcp_inline	packages/motoko-ext-mcp/register.ail	s/      ToolProvider(collect_all_tool_names(cfg), mcp_tool_handle)/      ToolProvider(collect_all_tool_names(cfg), \\ctx call. mcp_tool_handle(ctx, call))/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh gate mcp
cai_inline	packages/motoko-ext-compaction-ai/register.ail	s/      Compactor(compaction_ai_compact)/      Compactor(\\ctx msgs. compaction_ai_compact(ctx, msgs))/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh gate compaction_ai
# the tree reading at submission: shape pass 11 of 18, binding rejections 23 (HEAD 4109827b + batch C)
tree_11_23	packages/motoko-ext-mcp/register.ail	s/      ToolProvider(collect_all_tool_names(cfg), mcp_tool_handle)/      ToolProvider(collect_all_tool_names(cfg), \\ctx call. mcp_tool_handle(ctx, call))/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh tree 11 23
#
# --- each capture read from a captured (module) value instead of ext_config -> the channel probe -> red
a2a_capture_describe	packages/motoko-ext-a2a/register.ail	s/  collect_schemas(parse_a2a_json(cfg).agents)/  collect_schemas(parse_a2a_json(a2a_config_json({ agents: [] })).agents)/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh channel
a2a_capture_provider	packages/motoko-ext-a2a/register.ail	s/a2a_decide(parse_a2a_json(ctx.ext_config).agents, call)/a2a_decide(parse_a2a_json(a2a_config_json({ agents: [] })).agents, call)/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh channel
agentcli_capture_describe	packages/motoko-ext-agentcli/register.ail	s/  describe_tools(agentcli_config_of(cfg).providers)/  describe_tools(all_providers())/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh channel
agentcli_capture_provider	packages/motoko-ext-agentcli/register.ail	s/  on_tool_handle(agentcli_config_of(ctx.ext_config), ctx, call)/  on_tool_handle({ providers: all_providers(), lock_path: "", max_output_chars: 1 }, ctx, call)/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh channel
docs_capture_describe	packages/motoko-ext-ailang-docs/register.ail	s/  ailang_docs_catalog(cfg)/  ailang_docs_catalog(ailang_docs_config_json(true, 0, 0))/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh channel
# ailang-docs' ToolProvider execs the MCP bridge, so no offline probe observes its limits; its decode is the row:
docs_capture_limits	packages/motoko-ext-ailang-docs/ailang_docs.ail	s/    match getInt(cfg, "timeout_ms") { Some(n) => n, None => 30000 },/    30000,/	bash .agent/projects/031_system_one_decisions/evidence/P1.2c/p12c_ws.sh test packages/motoko-ext-ailang-docs/ailang_docs.ail
