case_id	status
M6.D.gen	credited
M6.S.gen	credited
M6.R.gen	credited
M6.A.gen	credited
M6.A.malformed	credited
M6.make_n.blind	credited
M6.image.blind	credited
M6.D.at_a	credited
M6.S.at_a	credited
M6.R.at_a	credited
M6.A.at_a	credited
M1.ChainBreak.digest	credited
M1.ChainBreak.parent	credited
M1.ChainBreak.cycle	credited
M1.ChainBreak.root	credited
M1.MalformedEntry.field	credited
M1.MalformedEntry.message	credited
M1.MalformedEntry.envelope	credited
M1.MalformedEntry.no_seq	credited
M1.MalformedEntry.pairing	credited
M1.MalformedEntry.stray_wake.no_park	credited
M1.MalformedEntry.stray_wake.answered	credited
M1.MalformedEntry.stray_wake.other_request	credited
M1.UnknownEntryType	credited
M1.UnknownSchema	credited
M1.clean	credited
M1.clean.park_wake	credited
M1.entry_types	credited
M1.seed.r21	credited
M1.segment.ends	credited
M1.seed.repair_only	credited
M1.park.reported	credited
M1.wake_opened.flagged	credited
M1.selector	credited
M1.fold.gen	credited
M1.reader.gen	credited
M1.fold.at_a	credited
M1.fold.at_a.every_leaf	credited
M15.ChainBreak.passes_M1	credited
M15.ChainBreak	equal
M15.MalformedEntry.passes_M1	credited
M15.MalformedEntry	equal
M15.UnknownEntryType	inapplicable
M15.UnknownSchema	inapplicable
M15.park_wake	inapplicable
M7.clean	equal
M7.ws_in_literal	equal
M7.ws_doubled_in_literal	equal
M7.token_tool_outcome_record	equal
M7.import_paren_name	equal
M7.import_joined	equal
M7.import_alias	equal
M7.comment_in_span	equal
M7.unbraced_last_line	equal
M7.deriving	equal
M7.moved_other_file	equal
M7.renamed_missing	equal
M7.renamed_readded	equal
M7.moved_within_file	equal
M7.outside_every_span	equal
M7.interp_brace	equal
M7.new_decl_dup_name	equal
M7.dup_in_other_protected_file	equal
M7.call_site_changed	equal
M7.call_site_duplicated	equal
M7.unterminated_string	equal
M7.unbalanced_paren	equal
M7.pin_drift_reported	equal
M7.diff_names_only	equal
M7.gen_missing_symbol	equal
M7.gen_overlap	equal
M7.gen_duplicate_symbol	equal
M7.overlap_two_declarations	equal
M7.crosscheck_every_nonbraced_span	equal
M7.crosscheck_detects_short_span	equal
M7.pins_at_a	equal
M7.pins_at_a_with_reader	equal
M7.pins_corrupted	equal
M2.DuplicateOrAmbiguousCallId.call_ids	credited
M2.DuplicateOrAmbiguousCallId.result	credited
M2.UnexpectedToolResult.pairing	credited
