fix_id	target	baseline	mutated	restored	bytes	verdict
p16r_hook_guard_literal	scripts/dst/hook_guard_dst.ail	GREEN	RED	GREEN	same	PASS
p16r_park_resume_config	scripts/dst/park_resume_dst.ail	GREEN	RED	GREEN	same	PASS
p16r_runtime_status_describe	scripts/dst/runtime_status_tool_dst.ail	GREEN	RED	GREEN	same	PASS
p16r_world_state_poison_config	scripts/dst/world_state_poison.ail	GREEN	RED	GREEN	same	PASS
p16r_compaction_chain_literal	scripts/smoke_v2_compaction_chain.ail	GREEN	RED	GREEN	same	PASS
p16r_pending_literal	scripts/smoke_v2_pending.ail	GREEN	RED	GREEN	same	PASS
p16r_policy_denial_literal	scripts/smoke_v2_policy_denial.ail	GREEN	RED	GREEN	same	PASS
p16r_example_roundtrip_make_hooks	examples/smoke_registry_roundtrip.ail	GREEN	RED	GREEN	same	PASS
p16r_lock_abi_74	ailang.lock	GREEN	RED	GREEN	same	PASS
p16r_ledger_parity_config	scripts/dst/ledger_parity_dst.ail	GREEN	RED	GREEN	same	PASS
p16r_registry_multiplicity_describe	scripts/dst/registry_multiplicity_dst.ail	GREEN	RED	GREEN	same	PASS
p16r_scripted_cursor_config	scripts/dst/scripted_cursor_probe.ail	GREEN	RED	GREEN	same	PASS
p16r_world_state_probe_aiports	scripts/dst/world_state_probe.ail	GREEN	RED	GREEN	same	PASS
p16r_handle_trace_row	scripts/smoke_v2_handle.ail	GREEN	RED	GREEN	same	PASS
p16r_pending_full_loop_config	scripts/smoke_v2_pending_full_loop.ail	GREEN	RED	GREEN	same	PASS
p16r_example_a2a_make_hooks	examples/smoke_a2a_delegate.ail	GREEN	RED	GREEN	same	PASS
p16r_no_op_profile_head	tools/profile_definition/check_no_op_profile.py	GREEN	RED	GREEN	same	PASS
